Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides wash_long_column_for_test1	Peptides wash_long_column_for_test2	Razor + unique peptides wash_long_column_for_test1	Razor + unique peptides wash_long_column_for_test2	Unique peptides wash_long_column_for_test1	Unique peptides wash_long_column_for_test2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 0	Q-value	Score	Sequence coverage wash_long_column_for_test1 [%]	Sequence coverage wash_long_column_for_test2 [%]	Intensity	Intensity wash_long_column_for_test1	Intensity wash_long_column_for_test2	LFQ intensity wash_long_column_for_test1	LFQ intensity wash_long_column_for_test2	MS/MS count wash_long_column_for_test1	MS/MS count wash_long_column_for_test2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P50446	CON__P50446	1	1	1		1	1	1	1	1	1	1	1	1	1	2.2	2.2	2.2	59.334	553	553	0	2	0	5.7904	2.2	2.2	20499000	10250000	10250000	10250000	10250000	1	1	2			+	10	0	True	0	0;1	0;1	0		
CON__Q14CN4-1;CON__Q9R0H5	CON__Q14CN4-1;CON__Q9R0H5	1;1	1;1	1;1	;	2	1	1	1	1	1	1	1	1	1	1.8	1.8	1.8	55.877	511	511;524	0	2	0	7.3777	1.8	1.8	14568000	7283800	7283800	7283800	7283800	1	1	2			+	11	2	True	2	4;5	4;5	4		
CON__Q1A7A4	CON__Q1A7A4	2	2	2		1	2	2	2	2	2	2	2	2	2	1.6	1.6	1.6	188.74	1677	1677	0	4	0	11.927	1.6	1.6	0	0	0	0	0	2	2	4			+	12	18;20	True;True	19;21	38;39;42;43	40;41;44;45	40;44		
CON__Q2KJ83	CON__Q2KJ83	1	1	1		1	1	1	1	1	1	1	1	1	1	1.7	1.7	1.7	52.668	462	462	0	2	0	5.9436	1.7	1.7	21330000	10665000	10665000	10665000	10665000	2	2	4			+	13	16	True	17	34;35	34;35;36;37	34		
CON__Q2KJC7	CON__Q2KJC7	1	1	1		1	1	1	1	1	1	1	1	1	1	2.4	2.4	2.4	86.858	779	779	0	2	0	6.1081	2.4	2.4	7303700	3651800	3651800	0	3651800	0	0	0			+	14	21	True	22	44;45	46;47	46		
CON__Q2KJF1	CON__Q2KJF1	1	1	1		1	1	1	1	1	1	1	1	1	1	2.2	2.2	2.2	53.553	503	503	0	2	0	7.0021	2.2	2.2	21303000	10652000	10652000	10652000	10652000	1	1	2			+	15	8	True	8	16;17	16;17	16		
CON__Q3SX14	CON__Q3SX14	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	85.686	781	781	0	2	0	5.7914	1	1	57107000	28554000	28554000	28554000	28554000	1	1	2			+	16	11	True	11	22;23	22;23	22		
CON__Q5XQN5	CON__Q5XQN5	1	1	1		1	1	1	1	1	1	1	1	1	1	2.5	2.5	2.5	62.936	601	601	0	2	0	6.0876	2.5	2.5	0	0	0	0	0	1	1	2			+	17	19	True	20	40;41	42;43	42		
CON__Q9N2I2	CON__Q9N2I2	1	1	1		1	1	1	1	1	1	1	1	1	1	2	2	2	45.296	404	404	0	2	0	5.9424	2	2	43337000	21669000	21669000	21669000	21669000	1	1	2			+	18	17	True	18	36;37	38;39	38		
CON__Q9TT36	CON__Q9TT36	1	1	1		1	1	1	1	1	1	1	1	1	1	4.4	4.4	4.4	46.017	411	411	0	2	0	5.8968	4.4	4.4	0	0	0	0	0	1	1	2			+	19	15	True	16	32;33	32;33	32		
MC-6-1_GL0078190	MC-6-1_GL0078190	1	1	1	MC-6-1_GL0078190  [gene]  locus=scaffold52510_1:1352:1573:- [Lack 5-end] codon-table.11	1	1	1	1	1	1	1	1	1	1	11	11	11	8.5128	73	73	0	2	0	7.0031	11	11	7629400	3814700	3814700	3814700	3814700	1	1	2				20	3	True	3	6;7	6;7	6		
