Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q8WTT2;A6NJZ9;F5H677	Q8WTT2;A6NJZ9;F5H677	6;6;3	6;6;3	6;6;3	Nucleolar complex protein 3 homolog ;Nucleolar complex protein 3 homolog ;Nucleolar complex protein 3 homolog 	3	6	6	6	9.4	9.4	9.4	92.547	800	800;800;501	0	38.426	34628000	5				26	2219;3993;5750;8275;12420;15985	True;True;True;True;True;True	2269;4078;5870;8462;12772;16422	3757;6701;9738;14126;21116;27148	4287;7615;11088;16093;23990;30853	4287;7615;11088;16093;23990;30853		
H0YK42;Q13596-2;A6NKH4;Q13596;Q13596-3	H0YK42;Q13596-2;A6NKH4;Q13596;Q13596-3	3;3;3;3;2	1;1;1;1;1	1;1;1;1;1	Sorting nexin-1 ;Isoform 1A of Sorting nexin-1 ;Sorting nexin 1, isoform CRA_d ;Sorting nexin-1 ;Isoform 3 of Sorting nexin-1 	5	3	1	1	12.2	5.3	5.3	35.592	304	304;457;474;522;557	0.00048146	6.853	8567300	1				27	1003;12169;16062	False;True;False	1027;12515;16499	1695;20704;27280;27281	1941;23521;31005;31006	1941;23521;31006		
A6NKT7;J3KNE0;Q7Z3J3;J3KNY6;P0DJD0;J3QTV4;P0DJD1;F8VYC4;H7BZ48	A6NKT7;J3KNE0;Q7Z3J3;J3KNY6;P0DJD0;J3QTV4;P0DJD1;F8VYC4	7;7;6;6;4;4;4;4;1	1;1;1;1;0;0;0;0;0	1;1;1;1;0;0;0;0;0	RanBP2-like and GRIP domain-containing protein 3 ;RanBP2-like and GRIP domain-containing protein 3 ;RanBP2-like and GRIP domain-containing protein 4 ;RanBP2-like and GRIP domain-containing protein 4 ;RANBP2-like and GRIP domain-containing protein 1 ;RANBP2	9	7	1	1	4.7	0.7	0.7	197.48	1758	1758;1766;1758;1766;1748;1748;1756;1756;202	0.003648	6.3529	9145200	1				28	4254;6347;7576;8705;10847;12360;15577	False;True;False;False;False;False;False	4345;6482;7747;8898;11159;12711;16007	7100;10759;12945;14843;18535;18536;21014;21015;26461	8070;12300;14778;16921;21116;21117;23876;23877;30095	8070;12300;14778;16921;21116;23876;30095		
A6NLC6;Q15904	A6NLC6;Q15904	1;1	1;1	1;1	V-type proton ATPase subunit S1 (Fragment) ;V-type proton ATPase subunit S1 	2	1	1	1	4	4	4	30.122	273	273;470	0.0062057	6.0873	2199000	0				29	2422	True	2482	4120	4713	4713		
E9PJK1;E9PRJ8;H0YDL9;H0YDJ9;P60033;E9PIF1;A6NMH8	E9PJK1;E9PRJ8;H0YDL9;H0YDJ9;P60033;E9PIF1;A6NMH8	3;3;3;3;3;3;3	3;3;3;3;3;3;3	3;3;3;3;3;3;3	CD81 antigen ;CD81 antigen (Fragment) ;CD81 antigen (Fragment) ;CD81 antigen (Fragment) ;CD81 antigen ;CD81 antigen ;CD81 antigen 	7	3	3	3	27.3	27.3	27.3	17.963	165	165;209;221;225;236;242;274	0	19.003	53575000	2				30	10722;10723;13049	True;True;True	11033;11034;13415	18324;18325;18326;22143	20875;20876;20877;25155	20875;20877;25155		
P09884;A6NMQ1	P09884;A6NMQ1	2;2	2;2	2;2	DNA polymerase alpha catalytic subunit ;DNA polymerase 	2	2	2	2	1.2	1.2	1.2	165.91	1462	1462;1468	0	10.295	69840000	2				31	11027;13369	True;True	11346;13742	18835;22711	21451;25822	21451;25822		
O43768-2;O43768;O43768-9;O43768-3;O43768-4;A6NMQ3;C9JUF4;Q5T5H1;O43768-8;O43768-6;O43768-5;O43768-7;H3BQ52;H3BTD3;P56211-2;P56211;H3BMD8	O43768-2;O43768;O43768-9;O43768-3;O43768-4;A6NMQ3;C9JUF4;Q5T5H1;O43768-8;O43768-6;O43768-5;O43768-7	4;4;4;4;4;4;4;4;3;3;3;3;1;1;1;1;1	4;4;4;4;4;4;4;4;3;3;3;3;1;1;1;1;1	4;4;4;4;4;4;4;4;3;3;3;3;1;1;1;1;1	Isoform 2 of Alpha-endosulfine ;Alpha-endosulfine ;Isoform 9 of Alpha-endosulfine ;Isoform 3 of Alpha-endosulfine ;Isoform 4 of Alpha-endosulfine ;Alpha-endosulfine ;Alpha-endosulfine ;Alpha-endosulfine ;Isoform 8 of Alpha-endosulfine ;Isoform 6 of Alpha-e	17	4	4	4	54.7	54.7	54.7	12.975	117	117;121;133;137;140;140;144;187;105;113;117;133;71;72;96;112;131	0	40.53	111790000	6				32	799;2810;12485;15615	True;True;True;True	820;2875;12837;16045	1364;4774;21221;21222;26522;26523	1555;5433;24108;24109;30161;30162	1555;5433;24108;30162		
A6NN80;P08133;P08133-2;E5RK69;E7EMC6;E5RFF0;E5RJR0;E5RI05;H0YC77;E5RIU8;E5RJF5;E5RK63	A6NN80;P08133;P08133-2;E5RK69;E7EMC6	13;13;12;10;8;5;3;3;2;2;2;2	13;13;12;10;8;5;3;3;2;2;2;2	13;13;12;10;8;5;3;3;2;2;2;2	Annexin ;Annexin A6 ;Isoform 2 of Annexin A6 ;Annexin ;Annexin 	12	13	13	13	25.3	25.3	25.3	75.276	667	667;673;641;460;330;156;110;129;91;95;129;150	0	90.961	162830000	17				33	913;1804;4604;4916;5192;5278;8425;8476;10237;11858;11859;13665;15416	True;True;True;True;True;True;True;True;True;True;True;True;True	936;1845;4702;5020;5300;5387;8613;8665;10533;12193;12194;14047;15841	1546;1547;3057;7715;7716;8284;8285;8728;8729;8866;14371;14372;14458;17471;20184;20185;20186;23213;26205	1771;1772;3497;8802;8803;9448;9449;9936;9937;10089;16382;16383;16487;19888;22914;22915;22916;26388;29818	1772;3497;8803;9449;9936;10089;16382;16487;19888;22914;22916;26388;29818		
H0YEL5;A6NNE7;C9JQD4;O43447	H0YEL5;A6NNE7;C9JQD4;O43447	1;1;1;1	1;1;1;1	1;1;1;1	Peptidyl-prolyl cis-trans isomerase H (Fragment) ;Peptidyl-prolyl cis-trans isomerase ;Peptidyl-prolyl cis-trans isomerase (Fragment) ;Peptidyl-prolyl cis-trans isomerase H 	4	1	1	1	9.4	9.4	9.4	10.281	96	96;134;144;177	0.00049188	7.3526	28735000	2				34	6194	True	6324	10494;10495	11968;11969	11969		
Q08257-2;C9JH92;A6NP24;Q08257-3;Q08257	Q08257-2;C9JH92;A6NP24;Q08257-3;Q08257	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Isoform 2 of Quinone oxidoreductase ;Quinone oxidoreductase (Fragment) ;Quinone oxidoreductase (Fragment) ;Isoform 3 of Quinone oxidoreductase ;Quinone oxidoreductase 	5	1	1	1	6.2	6.2	6.2	20.42	192	192;206;243;295;329	0.00049456	7.5304	7264400	1				35	6399	True	6536	10855	12413	12413		
